CPU name,cpu bench (higher = better)
Intel Core i3-10105F @ 3.70GHz,"9,011"
Intel Xeon E5-2670 @ 2.60GHz,"8,958"
Intel Xeon E3-1270 v6 @ 3.80GHz,"8,951"
Intel Core i7-6700K @ 4.00GHz,"8,935"
AMD Ryzen 5 3400GE,"8,907"
Intel Core i5-3170K @ 3.20GHz,"8,882"
Intel Xeon Gold 5122 @ 3.60GHz,"8,843"
Intel Xeon E5-2648L v2 @ 1.90GHz,"8,828"
Intel Xeon Silver 4108 @ 1.80GHz,"8,816"
Intel Xeon E3-1245 v6 @ 3.70GHz,"8,786"
Intel Xeon E5-2630L v3 @ 1.80GHz,"8,765"
Intel Core i3-10100F @ 3.60GHz,"8,763"
ARM - 32 Core 3300 MHz,"8,732"
AMD Ryzen 5 2400G,"8,731"
ARM X-Gene 32 Core 3300 MHz,"8,684"
Intel Core i3-10100 @ 3.60GHz,"8,671"
Intel Xeon E3-1240 v6 @ 3.70GHz,"8,669"
Intel Core i5-1130G7 @ 1.10GHz,"8,661"
Intel Core i7-7700 @ 3.60GHz,"8,659"
Intel Atom C5125,"8,631"
Intel Xeon E5-4650 @ 2.70GHz,"8,630"
AMD Ryzen 3 7320C,"8,614"
ARM - 8 Core 2424 MHz,"8,610"
Intel Xeon W-2223 @ 3.60GHz,"8,589"
AMD Ryzen Embedded V1807B,"8,567"
Intel Core i7-8809G @ 3.10GHz,"8,560"
Intel Core i3-10105 @ 3.70GHz,"8,559"
AMD EPYC 3201,"8,545"
Apple A14 Bionic,"8,542"
Intel Xeon E3-1285 v6 @ 4.10GHz,"8,536"
Intel Xeon E5-4650L @ 2.60GHz,"8,533"
AMD Ryzen 5 PRO 2400G,"8,508"
Intel Xeon W-11155MLE @ 1.80GHz,"8,502"
Intel Xeon W-2123 @ 3.60GHz,"8,500"
AMD Ryzen Embedded R2544,"8,486"
Intel Core i3-N300,"8,475"
Intel Xeon E3-1275 v5 @ 3.60GHz,"8,471"
Intel Core i7-3970X @ 3.50GHz,"8,461"
Intel Core i7-8559U @ 2.70GHz,"8,455"
Intel Core i5-10400H @ 2.60GHz,"8,450"
Intel Core i5-10500TE @ 2.30GHz,"8,449"
Intel Xeon E5-2628 v3 @ 2.50GHz,"8,447"
Intel Core i5-10300H @ 2.50GHz,"8,438"
AMD EPYC 3151,"8,425"
Intel Xeon E3-1280 v5 @ 3.70GHz,"8,410"
Intel Xeon E3-1585 v5 @ 3.50GHz,"8,408"
Intel Xeon E5-1660 @ 3.30GHz,"8,405"
Intel Core i7-3960X @ 3.30GHz,"8,405"
Intel Core i5-9400T @ 1.80GHz,"8,399"
Intel Core i3-10100E @ 3.20GHz,"8,365"
Intel Core i7-1065G7 @ 1.30GHz,"8,363"
Intel Xeon E3-1270 v5 @ 3.60GHz,"8,321"
Intel Core i7-1180G7 @ 1.30GHz,"8,314"
Intel Xeon E5-2470 @ 2.30GHz,"8,295"
Intel Core i3-1315UE,"8,294"
AMD Ryzen Embedded V1756B,"8,291"
AMD Opteron 6386 SE,"8,291"
Intel Xeon E5-2665 @ 2.40GHz,"8,275"
AMD Ryzen 5 PRO 3400GE,"8,271"
AMD Athlon Gold PRO 4150GE,"8,259"
Intel Xeon E3-1240 v5 @ 3.50GHz,"8,255"
Intel Xeon E-2314 @ 2.80GHz,"8,237"
Intel Xeon E3-1260L v5 @ 2.90GHz,"8,226"
Intel Core i7-8569U @ 2.80GHz,"8,224"
Intel Core i7-10810U @ 1.10GHz,"8,207"
Intel Core i7-3930K @ 3.20GHz,"8,204"
ARM X-Gene 32 Core 3000 MHz,"8,202"
Intel Core i5-9500T @ 2.20GHz,"8,197"
Intel Core i5-1035G7 @ 1.20GHz,"8,188"
Intel Core i7-1185GRE @ 2.80GHz,"8,179"
Intel Xeon E-2276ME @ 2.80GHz,"8,167"
AMD Ryzen 7 3750H,"8,159"
Intel Core i5-10200H @ 2.40GHz,"8,154"
Google Tensor G3,"8,139"
Intel Core i3-10305T @ 3.00GHz,"8,136"
ARM - 32 Core 2911 MHz,"8,132"
Intel Xeon E5-2660 @ 2.20GHz,"8,130"
Intel Xeon E3-1230 v6 @ 3.50GHz,"8,113"
Intel Xeon E5-1650 @ 3.20GHz,"8,099"
Intel Core i7-8706G @ 3.10GHz,"8,095"
Intel Core i7-6700 @ 3.40GHz,"8,092"
Intel Xeon E3-1585L v5 @ 3.00GHz,"8,083"
Mediatek Dimensity 9200 (MT6985),"8,076"
Intel Xeon E3-1285L v4 @ 3.40GHz,"8,074"
Intel Core i7-4790K @ 4.00GHz,"8,068"
Intel Core i5-8269U @ 2.60GHz,"8,055"
Intel Xeon E3-1535M v6 @ 3.10GHz,"8,049"
CentaurHauls @2500MHz,"8,046"
Intel Xeon E3-1245 v5 @ 3.50GHz,"8,030"
Intel Core i3-10105T @ 3.00GHz,"8,024"
Intel Xeon D-1559 @ 1.50GHz,"8,015"
AMD Ryzen 7 2800H,"8,013"
Intel Core i3-10300T @ 3.00GHz,"8,003"
Intel Xeon D-2712T @ 1.90GHz,"7,990"
Mediatek Dimensity 8200-Ultimate (MT6896),"7,971"
Intel Xeon E3-1230 v5 @ 3.40GHz,"7,963"
Intel Xeon E3-1575M v5 @ 3.00GHz,"7,959"
Intel Core i5-1035G4 @ 1.10GHz,"7,943"
Intel Xeon E3-1515M v5 @ 2.80GHz,"7,938"
Intel Core i7-8709G @ 3.10GHz,"7,926"
Intel Core i5-8259U @ 2.30GHz,"7,917"
Intel Core i5-9400H @ 2.50GHz,"7,890"
Intel Core i7-995X @ 3.60GHz,"7,862"
AMD Opteron 6348,"7,850"
AMD Ryzen 5 2600H,"7,834"
Intel Xeon E3-1545M v5 @ 2.90GHz,"7,815"
AMD Ryzen 5 3550H,"7,815"
Intel Xeon E5-2620 v3 @ 2.40GHz,"7,810"
Intel Xeon E3-1285 v4 @ 3.50GHz,"7,808"
ARM Firestorm 4 Core 2064 MHz,"7,804"
AMD Ryzen Embedded V1807F,"7,775"
AMD Ryzen 5 1400,"7,764"
Mediatek MT6983Z/CZA,"7,726"
Intel Core i5-8500T @ 2.10GHz,"7,723"
Intel Core i5-8400H @ 2.50GHz,"7,713"
AMD Athlon Gold PRO 3150G,"7,702"
Intel Core i3-9350K @ 4.00GHz,"7,700"
Intel Core i7-5950HQ @ 2.90GHz,"7,696"
Mediatek MT6895Z_A/TCZA,"7,686"
Intel Core i7-5775C @ 3.30GHz,"7,683"
AMD Ryzen 5 3550U,"7,681"
Intel Core i7-8705G @ 3.10GHz,"7,680"
Intel Xeon E5-1630 v4 @ 3.70GHz,"7,678"
ARM Firestorm-M1 4 Core 2064 MHz,"7,667"
Intel Xeon E3-1270L v4 @ 3.00GHz,"7,662"
Intel Xeon E5-2440 v2 @ 1.90GHz,"7,655"
Intel Xeon E5-2640 v2 @ 2.00GHz,"7,629"
AMD Ryzen 5 PRO 2400GE,"7,626"
Intel Xeon E-2224G @ 3.50GHz,"7,624"
Intel Core i5-9300H @ 2.40GHz,"7,619"
MediaTek MT6895,"7,615"
Intel Core i7-7700T @ 2.90GHz,"7,608"
Intel Core i7-5775R @ 3.30GHz,"7,596"
Intel Xeon E5-2650L v2 @ 1.70GHz,"7,586"
Intel Core i5-8257U @ 1.40GHz,"7,577"
Intel Core i5-8260U @ 1.60GHz,"7,577"
QTI SM7475,"7,569"
Intel Core i3-9350KF @ 4.00GHz,"7,549"
Intel Xeon E5-2450 @ 2.10GHz,"7,534"
AMD Ryzen 3 2300X,"7,530"
Intel Xeon E3-1271 v3 @ 3.60GHz,"7,525"
AMD Ryzen 5 2400GE,"7,515"
Intel Xeon E3-1535M v5 @ 2.90GHz,"7,513"
Intel Xeon E5-2667 @ 2.90GHz,"7,511"
Intel Core i7-8557U @ 1.70GHz,"7,498"
Mediatek MT6891Z/CZA,"7,487"
Intel Xeon E5-2630 v2 @ 2.60GHz,"7,484"
Intel Xeon D-1531 @ 2.20GHz,"7,483"
AMD Ryzen 7 PRO 3700U,"7,483"
Intel Core i5-8300H @ 2.30GHz,"7,462"
Intel Core i5-8279U @ 2.40GHz,"7,461"
AMD Ryzen 3 4300U,"7,457"
Intel Core i5-8400T @ 1.70GHz,"7,457"
Intel Xeon E3-1505M v6 @ 3.00GHz,"7,454"
Intel Core i7-7820EQ @ 3.00GHz,"7,453"
Intel Xeon E3-1276 v3 @ 3.60GHz,"7,448"
Intel Xeon E5-2608L v4 @ 1.60GHz,"7,447"
Intel Xeon D-1537 @ 1.70GHz,"7,444"
Intel Core i5-1035G1 @ 1.00GHz,"7,432"
Intel Xeon E5-2650 @ 2.00GHz,"7,422"
Intel Xeon E3-1286 v3 @ 3.70GHz,"7,418"
Intel Xeon E5-2637 v4 @ 3.50GHz,"7,418"
Intel Xeon E-2124G @ 3.40GHz,"7,414"
Intel Core i7-7920HQ @ 3.10GHz,"7,411"
Intel Xeon E3-1281 v3 @ 3.70GHz,"7,408"
Mediatek MT6897,"7,403"
Intel Xeon E3-1280 v3 @ 3.60GHz,"7,402"
Intel Core i7-7820HK @ 2.90GHz,"7,397"
Intel Xeon E5-1630 v3 @ 3.70GHz,"7,393"
Google GS201,"7,389"
Intel Xeon E5-1620 v4 @ 3.50GHz,"7,375"
Intel Core i5-9300HF @ 2.40GHz,"7,374"
Intel Xeon @ 2.00GHz,"7,363"
Intel Core i3-9320 @ 3.70GHz,"7,358"
QTI SM8475,"7,358"
Intel Core i7-6920HQ @ 2.90GHz,"7,322"
Intel Core i3-10100T @ 3.00GHz,"7,321"
AMD Ryzen 3 3200GE,"7,309"
Intel Xeon E-2224 @ 3.40GHz,"7,307"
Intel Xeon Phi 7210 @ 1.30GHz,"7,306"
Intel Xeon E3-1270 v3 @ 3.50GHz,"7,283"
Intel Xeon E3-1246 v3 @ 3.50GHz,"7,282"
AMD Opteron 6281,"7,279"
Intel Xeon E3-1275 v3 @ 3.50GHz,"7,275"
Intel Core i7-4790 @ 3.60GHz,"7,270"
Intel Xeon E5-2637 v3 @ 3.50GHz,"7,266"
Intel Core i7-6700T @ 2.80GHz,"7,256"
AMD Ryzen 5 Microsoft Surface Edition,"7,243"
AMD Ryzen 5 3580U,"7,240"
AMD Ryzen 3 PRO 1300,"7,234"
Intel Xeon E5-4610 v3 @ 1.70GHz,"7,229"
Intel Xeon W3690 @ 3.47GHz,"7,227"
Intel Xeon E5-2628L v2 @ 1.90GHz,"7,181"
AMD Ryzen 7 3700U,"7,178"
AMD Ryzen 7 PRO 2700U,"7,175"
Intel Xeon D-1539 @ 1.60GHz,"7,175"
Intel Core i7-7820HQ @ 2.90GHz,"7,170"
AMD Ryzen 7 3700C,"7,145"
Intel 300,"7,142"
vendor Kirin9000E,"7,141"
Intel Core i7-4771 @ 3.50GHz,"7,140"
Intel Core i3-9300 @ 3.70GHz,"7,137"
AMD Ryzen 3 3200G,"7,137"
Mediatek MT6895Z_B/TCZA,"7,135"
Intel Xeon E3-1241 v3 @ 3.50GHz,"7,134"
Intel Core i7-4770K @ 3.50GHz,"7,122"
AMD Athlon Gold 3150G,"7,112"
Intel Core i7-6770HQ @ 2.60GHz,"7,111"
Intel Core i7-990X @ 3.47GHz,"7,106"
Intel Xeon X5679 @ 3.20GHz,"7,095"
Intel Core i7-4940MX @ 3.10GHz,"7,089"
Mediatek MT8797Z/CNZA,"7,086"
Intel Xeon E3-1240 v3 @ 3.40GHz,"7,062"
Intel Core i7-4770 @ 3.40GHz,"7,057"
Intel Core i7-6820HK @ 2.70GHz,"7,050"
QTI SG8175P,"7,046"
Intel Xeon E3-1231 v3 @ 3.40GHz,"7,044"
Intel Xeon E5-2430 v2 @ 2.50GHz,"7,039"
Intel Xeon E5-4620 @ 2.20GHz,"7,037"
Intel Core i7-5850EQ @ 2.70GHz,"7,036"
Intel Xeon X5690 @ 3.47GHz,"7,027"
Intel Xeon E3-1245 v3 @ 3.40GHz,"7,021"
Intel Xeon E5-4640 @ 2.40GHz,"7,012"
Intel Xeon W3680 @ 3.33GHz,"7,010"
Intel Core i7-4790S @ 3.20GHz,"7,008"
AMD Athlon Gold PRO 3150GE,"7,006"
Intel Core i7-6820EQ @ 2.80GHz,"7,001"
AMD Ryzen Embedded R2514,"6,998"
AMD Ryzen 5 PRO 3500U,"6,993"
Intel Xeon E5-1620 v3 @ 3.50GHz,"6,991"
AMD Ryzen 3 PRO 3200G,"6,987"
Intel Xeon E5-4607 v2 @ 2.60GHz,"6,986"
AMD Ryzen 3 1300X,"6,985"
Intel Xeon E3-1285 v3 @ 3.60GHz,"6,974"
AMD Ryzen 5 3500U,"6,962"
AMD Ryzen 7 3780U,"6,961"
Intel Xeon E3-1265L v4 @ 2.30GHz,"6,954"
Intel Core i5-8305G @ 2.80GHz,"6,951"
Intel Xeon E3-1505M v5 @ 2.80GHz,"6,946"
Intel Xeon E5-2623 v4 @ 2.60GHz,"6,940"
Intel Xeon E-2124 @ 3.30GHz,"6,931"
Intel Core i7-980 @ 3.33GHz,"6,926"
AMD Opteron 6287 SE,"6,925"
Intel Core i7-7700HQ @ 2.80GHz,"6,922"
vendor Kirin9000,"6,914"
AMD Ryzen 7 2700U,"6,907"
Samsung s5e8845,"6,886"
Intel Core i3-9100E @ 3.10GHz,"6,868"
Intel Core i7-5850HQ @ 2.70GHz,"6,866"
Intel Core i3-8350K @ 4.00GHz,"6,863"
Intel Xeon X5680 @ 3.33GHz,"6,846"
Intel Core i5-7640X @ 4.00GHz,"6,844"
Intel Core i7-980X @ 3.33GHz,"6,837"
Intel Core i7-6820HQ @ 2.70GHz,"6,828"
Intel Xeon E3-1285L v3 @ 3.10GHz,"6,819"
Intel Xeon E3-1230 v3 @ 3.30GHz,"6,811"
Intel Core i5-7600K @ 3.80GHz,"6,797"
Intel Xeon E5-2623 v3 @ 3.00GHz,"6,790"
AMD Ryzen 3 PRO 2200G,"6,786"
Intel Xeon D-1528 @ 1.90GHz,"6,785"
Intel Pentium Gold G7400,"6,776"
ARM Firestorm 8 Core 2064 MHz,"6,775"
Intel Xeon E5-2448L v2 @ 1.80GHz,"6,774"
Snapdragon 8cx Gen 2 @ 3.0 GHz,"6,770"
AMD Ryzen 3 2200G,"6,767"
AMD FX-9590 Eight-Core,"6,766"
Intel Core i7-4770S @ 3.10GHz,"6,759"
Qualcomm SM8250,"6,756"
Intel Core i3-9100F @ 3.60GHz,"6,742"
Intel Core i7-10610U @ 1.80GHz,"6,739"
Google Tensor,"6,715"
AMD Ryzen 5 3450U,"6,713"
AMD Ryzen Embedded V1605B,"6,713"
Intel Xeon E5-2630L v2 @ 2.40GHz,"6,701"
AMD Opteron 6380,"6,687"
Intel Xeon D-2123IT @ 2.20GHz,"6,673"
Mediatek MT6895Z/TCZA,"6,664"
Mediatek MT8789,"6,640"
Samsung s5e9925,"6,636"
Intel Core i7-1060NG7 @ 1.20GHz,"6,633"
AMD Ryzen 5 PRO 2500U,"6,632"
Intel Xeon E3-1275 V2 @ 3.50GHz,"6,627"
Intel Core i7-4770R @ 3.20GHz,"6,620"
Mediatek MT6893Z_T/CZA,"6,618"
Snapdragon 8cx Gen 2 @ 3.15 GHz,"6,614"
Intel Core i3-9100 @ 3.60GHz,"6,608"
AMD Ryzen 3 PRO 3200GE,"6,608"
Intel Core i7-10510U @ 1.80GHz,"6,605"
"Qualcomm Technologies, Inc SM8350AC","6,588"
MediaTek MT6983,"6,577"
QTI SM8250,"6,570"
Intel Core i5-7600 @ 3.50GHz,"6,565"
Intel Xeon E3-1280 V2 @ 3.60GHz,"6,558"
"Qualcomm Technologies, Inc SA8195P","6,554"
Intel Core i7-970 @ 3.20GHz,"6,553"
Intel Xeon E5-1620 v2 @ 3.70GHz,"6,552"
MT8797Z/CNZA,"6,550"
Intel Core i7-4980HQ @ 2.80GHz,"6,550"
CentaurHauls @2000MHz,"6,549"
AMD Ryzen 5 2500U,"6,549"
QTI SM8350,"6,547"
Qualcomm SM8350,"6,546"
Intel Core i7-6700HQ @ 2.60GHz,"6,530"
Intel Core i7-4820K @ 3.70GHz,"6,526"
Intel Xeon E3-1290 V2 @ 3.70GHz,"6,526"
Intel Core i7-4960HQ @ 2.60GHz,"6,500"
Mediatek MT6891Z_Z/CZA,"6,497"
MT6893Z_Z/CZA,"6,485"
Intel Xeon E3-1270 V2 @ 3.50GHz,"6,480"
MT6893Z/CZA,"6,467"
Intel Core i7-3770K @ 3.50GHz,"6,466"
Intel Xeon E5-4610 @ 2.40GHz,"6,460"
"Odin based on Qualcomm Technologies, Inc SM8350","6,456"
Intel Xeon E3-1286L v3 @ 3.20GHz,"6,450"
"redwood based Qualcomm Technologies, Inc. SM7325","6,448"
Intel Xeon E3-1240L v5 @ 2.10GHz,"6,446"
Intel Xeon Silver 4112 @ 2.60GHz,"6,446"
Intel Xeon W3670 @ 3.20GHz,"6,435"
Intel Xeon X5675 @ 3.07GHz,"6,433"
"Qualcomm Technologies, Inc SM7325","6,431"
Intel Core i5-10310U @ 1.70GHz,"6,422"
Intel Core i7-4930MX @ 3.00GHz,"6,419"
"Qualcomm Technologies, Inc SM8250_AC","6,416"
Intel Xeon E5-2608L v3 @ 2.00GHz,"6,415"
Mediatek MT6883Z/CZA,"6,413"
Intel Xeon E5-2637 v2 @ 3.50GHz,"6,413"
Intel Core i7-3770 @ 3.40GHz,"6,410"
QTI SM8450,"6,397"
AMD Opteron 6282 SE,"6,385"
MT6893Z_B/CZA,"6,371"
"taoyao based Qualcomm Technologies, Inc. Yupik IDP","6,359"
Intel Xeon E-2276ML @ 2.00GHz,"6,353"
AMD Ryzen 3 PRO 2200GE,"6,352"
Intel Xeon E5-2420 v2 @ 2.20GHz,"6,352"
Intel Xeon E3-1240 V2 @ 3.40GHz,"6,349"
Intel Core i7-4790T @ 2.70GHz,"6,346"
Intel Core i7-4870HQ @ 2.50GHz,"6,336"
Intel Xeon E-2254ML @ 1.70GHz,"6,333"
Intel Xeon E5-2430L v2 @ 2.40GHz,"6,332"
Intel Xeon E5-2640 @ 2.50GHz,"6,325"
Mediatek MT6889,"6,322"
Intel Core i5-6600K @ 3.50GHz,"6,321"
Intel Core i3-8300 @ 3.70GHz,"6,310"
Mediatek MT6893,"6,310"
Intel Xeon E3-1245 V2 @ 3.40GHz,"6,302"
Intel Core i7-4760HQ @ 2.10GHz,"6,300"
Intel Xeon E5-4617 @ 2.90GHz,"6,298"
AMD Ryzen 3 1200,"6,295"
Intel Core i7-4910MQ @ 2.90GHz,"6,285"
HiSilicon Kirin,"6,283"
"Qualcomm Technologies, Inc KONA-IOT","6,282"
Intel Core i7-8650U @ 1.90GHz,"6,279"
Intel Core i7-6700TE @ 2.40GHz,"6,279"
Intel Xeon E3-1275L v3 @ 2.70GHz,"6,260"
Intel Core i7-8665U @ 1.90GHz,"6,258"
Intel Xeon E5-1428L v2 @ 2.20GHz,"6,255"
AMD Opteron 6276,"6,245"
Intel Core i7-4860HQ @ 2.40GHz,"6,242"
Intel Xeon E5-2620 v2 @ 2.10GHz,"6,240"
Intel Core i3-10100TE @ 2.30GHz,"6,237"
SM7325,"6,230"
Intel Core i5-10210U @ 1.60GHz,"6,213"
Intel Xeon D-1622 @ 2.60GHz,"6,205"
Intel Core i5-8350U @ 1.70GHz,"6,203"
Microsoft SQ2 @ 3.15 GHz,"6,203"
AMD FX-8370 Eight-Core,"6,203"
Intel Xeon E5-2650L @ 1.80GHz,"6,192"
Intel Core i5-8365U @ 1.60GHz,"6,187"
Intel Core i7-8565UC @ 1.80GHz,"6,187"
Intel Xeon E3-1230 V2 @ 3.30GHz,"6,185"
Intel Core i7-3770S @ 3.10GHz,"6,180"
Samsung Exynos 990,"6,180"
Intel Xeon E5-2630 @ 2.30GHz,"6,173"
Intel Xeon E3-1265L v3 @ 2.50GHz,"6,170"
Intel Core i3-9300T @ 3.20GHz,"6,164"
Intel Core i3-1215UL,"6,161"
AMD FX-9370 Eight-Core,"6,159"
MT6893Z_C/CZA,"6,139"
AMD Ryzen 3 PRO 1200,"6,131"
SM8350,"6,131"
Intel Core i3-8100 @ 3.60GHz,"6,130"
Intel Core i7-4850HQ @ 2.30GHz,"6,127"
Intel Core i7-4900MQ @ 2.80GHz,"6,121"
Intel Core i3-1115G4 @ 3.00GHz,"6,118"
"Qualcomm Technologies, Inc SM8350","6,112"
Intel Core i7-8565U @ 1.80GHz,"6,110"
vendor Kirin990,"6,100"
Intel Xeon E5-2440 @ 2.40GHz,"6,091"
Intel Xeon X5670 @ 2.93GHz,"6,089"
Intel Core i7-5675C @ 3.10GHz,"6,089"
Intel Xeon E3-1505L v6 @ 2.20GHz,"6,088"
Intel Xeon E3-1268L v5 @ 2.40GHz,"6,079"
Intel Core i3-8100B @ 3.60GHz,"6,079"
Intel Core i7-4770HQ @ 2.20GHz,"6,077"
Intel Xeon E5-2658 @ 2.10GHz,"6,073"
Samsung s5e8835,"6,071"
AMD Opteron 6344,"6,069"
Intel Core i7-4810MQ @ 2.80GHz,"6,065"
AMD FX-8350 Eight-Core,"6,058"
AMD Ryzen 3 2200GE,"6,056"
AMD EPYC 3101 4-Core,"6,050"
Intel Core i5-6600 @ 3.30GHz,"6,045"
MT6893Z_A/CZA,"6,043"
Intel Core i7-5700HQ @ 2.70GHz,"6,039"
AMD Ryzen Embedded R2314,"6,031"
Intel Core i5-7500 @ 3.40GHz,"6,025"
MT6891Z/CZA,"6,025"
Intel Xeon E3-1225 v6 @ 3.30GHz,"6,021"
Qualcomm SM7325,"6,020"
AMD Ryzen Embedded V1404I,"6,007"
QTI SM7435,"6,005"
Intel Xeon X5660 @ 2.80GHz,"6,005"
Intel Core i5-8265U @ 1.60GHz,"5,994"
Intel Xeon E3-1225 v5 @ 3.30GHz,"5,981"
Intel Core i7-4770T @ 2.50GHz,"5,973"
QTI SM7325,"5,951"
Intel N97,"5,933"
Intel Core i7-8550U @ 1.80GHz,"5,921"
Intel Core i7-3840QM @ 2.80GHz,"5,918"
Intel Xeon E-2104G @ 3.20GHz,"5,913"
Intel Core i3-1115G4E @ 3.00GHz,"5,912"
AMD Ryzen 3 PRO 3300U,"5,905"
Intel Core i5-8250U @ 1.60GHz,"5,890"
AMD Opteron 6378,"5,889"
Intel Xeon E5-2450L @ 1.80GHz,"5,880"
Intel Core i5-7600T @ 2.80GHz,"5,875"
AMD Ryzen 3 3350U,"5,867"
Intel Xeon E5-1620 @ 3.60GHz,"5,860"
"Qualcomm Technologies, Inc SM8250","5,852"
Intel Core i7-4710MQ @ 2.50GHz,"5,845"
Intel Core i7-3940XM @ 3.00GHz,"5,841"
MT6891,"5,817"
QTI SM6450,"5,807"
AMD Ryzen 3 PRO 2300U,"5,805"
Intel Core i7-5700EQ @ 2.60GHz,"5,803"
Intel Xeon E3-1220 v5 @ 3.00GHz,"5,788"
Intel Atom x7425E,"5,777"
AMD Opteron 4274 HE,"5,776"
Intel Xeon E3-1268L v3 @ 2.30GHz,"5,770"
Intel Xeon Bronze 3106 @ 1.70GHz,"5,769"
Intel Core i7-4720HQ @ 2.60GHz,"5,755"
Intel Core i7-3820 @ 3.60GHz,"5,752"
Intel Core i7-4800MQ @ 2.70GHz,"5,748"
AMD Ryzen 3 3300U,"5,748"
Intel Xeon W-2104 @ 3.20GHz,"5,745"
Intel Xeon E3-1220 v6 @ 3.00GHz,"5,744"
MT8195AV/ZA,"5,735"
Intel Core i3-8300T @ 3.20GHz,"5,733"
Intel Core i7-2700K @ 3.50GHz,"5,721"
Intel Xeon E5-1410 v2 @ 2.80GHz,"5,715"
Intel Xeon X5650 @ 2.67GHz,"5,715"
Intel Core i5-8365UE @ 1.60GHz,"5,711"
Intel Core i5-7440EQ @ 2.90GHz,"5,711"
Intel Core i7-3740QM @ 2.70GHz,"5,709"
Intel Core i5-1030NG7 @ 1.10GHz,"5,705"
MT6893Z_D/CZA,"5,701"
Intel Core i7-3820QM @ 2.70GHz,"5,694"
Intel Core i5-4690K @ 3.50GHz,"5,690"
Intel Core i7-3720QM @ 2.60GHz,"5,688"
Intel Pentium Gold G7400T,"5,688"
Intel Xeon E5649 @ 2.53GHz,"5,686"
Intel Core i7-4750HQ @ 2.00GHz,"5,682"
Intel Xeon E3-1205 v6 @ 3.00GHz,"5,682"
Intel Core i5-6600T @ 2.70GHz,"5,677"
Intel Xeon Platinum 8151 @ 3.40GHz,"5,669"
Apple A13 Bionic,"5,668"
MT6883Z/CZA,"5,665"
"Qualcomm Technologies, Inc KONA","5,658"
Intel Xeon D-1521 @ 2.40GHz,"5,657"
Intel Xeon E3-1240L v3 @ 2.00GHz,"5,655"
Virtual @ 2.99GHz,"5,654"
Intel Core i7-3920XM @ 2.90GHz,"5,651"
Intel Core i7-4700HQ @ 2.40GHz,"5,645"
AMD Opteron 6274,"5,643"
Intel Core i5-6500 @ 3.20GHz,"5,632"
AMD Ryzen 5 3500C,"5,629"
SM8325,"5,629"
AMD Opteron 6238,"5,625"
Intel Core i7-4722HQ @ 2.40GHz,"5,620"
Intel Xeon E3-1280 @ 3.50GHz,"5,615"
AMD Opteron 6366 HE,"5,613"
Intel Core i3-9100T @ 3.10GHz,"5,604"
Intel Xeon E5-2430 @ 2.20GHz,"5,586"
Intel Core i5-5675C @ 3.10GHz,"5,579"
AMD Opteron 6376,"5,572"
Intel Core i5-4690 @ 3.50GHz,"5,569"
Intel Core i5-4670K @ 3.40GHz,"5,566"
Microsoft SQ1 @ 3.0 GHz,"5,565"
Snapdragon 7325,"5,561"
Intel N100,"5,555"
Intel Xeon E3-1226 v3 @ 3.30GHz,"5,554"
"Qualcomm Technologies, Inc SDM778G","5,553"
Qualcomm SM8150,"5,551"
Intel Core i7-3615QE @ 2.30GHz,"5,548"
Snapdragon 855 @ 2.84 GHz,"5,547"
Intel Core i5-7440HQ @ 2.80GHz,"5,543"
Intel Xeon E5-2430L @ 2.00GHz,"5,539"
Intel Core i5-5675R @ 3.10GHz,"5,535"
AMD Ryzen 3 2300U,"5,529"
Intel Core i7-4710HQ @ 2.50GHz,"5,527"
Intel Core i5-4690S @ 3.20GHz,"5,524"
Intel Core i7-4785T @ 2.20GHz,"5,514"
Intel Core i5-4670 @ 3.40GHz,"5,513"
Intel Xeon E3-1275 @ 3.40GHz,"5,503"
Intel Core i7-4860EQ @ 1.80GHz,"5,500"
Intel Core i5-7400 @ 3.00GHz,"5,487"
Intel Core i7-2600K @ 3.40GHz,"5,485"
vendor Kirin985,"5,481"
ARM Cortex-A72 16 Core 2200 MHz,"5,470"
"lisa based Qualcomm Technologies, Inc. SM7325","5,456"
Samsung Exynos 2100,"5,451"
AMD FX-8320 Eight-Core,"5,451"
QTI SM7350,"5,450"
QTI SM7450,"5,449"
Intel Core i5-6440EQ @ 2.70GHz,"5,445"
Intel Core i7-3770T @ 2.50GHz,"5,444"
Intel Xeon E5-2609 v4 @ 1.70GHz,"5,443"
Intel Core i5-760S @ 2.53GHz,"5,440"
Intel Core i5-6402P @ 2.80GHz,"5,436"
Intel Xeon E5-2643 @ 3.30GHz,"5,433"
Intel Xeon E3-1290 @ 3.60GHz,"5,429"
AMD Ryzen Embedded V1500B Quad-core @ 2.20GHz,"5,417"
Mediatek MT6891,"5,412"
Intel N95,"5,400"
"Venus based on Qualcomm Technologies, Inc SM8350","5,398"
Intel Xeon E3-1240 @ 3.30GHz,"5,389"
Intel Xeon E5-2418L v2 @ 2.00GHz,"5,380"
Intel Xeon E3-1270 @ 3.40GHz,"5,377"
Intel Core i5-4590 @ 3.30GHz,"5,369"
Intel Pentium Silver N6005 @ 2.00GHz,"5,368"
"Haydn based on Qualcomm Technologies, Inc SM8350","5,359"
Intel Core i7-4700MQ @ 2.40GHz,"5,351"
Intel Core i7-2600 @ 3.40GHz,"5,341"
Intel Xeon E3-1245 @ 3.30GHz,"5,337"
Intel Core i7-4702HQ @ 2.20GHz,"5,334"
